#, RT [min], Area, Max. m/z
1,3.5,30142,289.0725
1a,3.5,30142,289.0925
2,3.5,30142,290.079
3,3.57,113170,563.2365
4,4.9,69151,609.1461
5,5.06,598993,463.0872
6,5.15,121175,463.0881
7,5.43,295243,433.0777
8,5.55,73690,567.1712
9,5.69,613018,433.0772
10,5.78,57960,433.0773
11,5.85,496509,447.0922
12,6.21,1001647,435.1283
13,8.97,124474,329.2341
14,10.14,70542,501.3222
15,10.35,74147,476.2781
16,10.4,67710,564.3297
17,10.49,52328,595.2878
18,10.78,21299,265.1473
19,10.88,236937,485.3266
20,10.94,78414,295.2281
